JENIS KOMODITAS/SEKTOR;TICKER;NAMA PT
RE;BREN;Barito Renewables Energy PT Tbk
RE;PGEO;Pertamina Geothermal Energy PT T
RE;KEEN;Kencana Energi Lestari Tbk PT
RE;HGII;Haro Global Investment Tbk PT
RE;ARKO;Arkora Hydro Tbk PT
RE;OASA;Maharaksa Biru Energi Tbk PT
RE;DSSA;Dian Swastatika Sentosa Tbk PT
RE;TOBA;TBS Energi Utama Tbk PT
RE;INDY;Indika Energy Tbk PT
RE;RUIS;Radiant Utama Interinsco Tbk PT
RE;UNTR;United Tractors Tbk PT
RE;ADMR;PT Adaro Minerals Indonesia Tbk
RE;MEDC;Medco Energi Internasional Tbk PT
RE;BNBR;Bakrie & Brothers Tbk PT
RE;FUTR;PT Futura Energi Global Tbk
RE;ADRO;Adaro Energy Indonesia Tbk PT
RE;PACK;Abadi Nusantara Hijau Investama Tb
LUMBER;FWCT;Wijaya Cahaya Timber Tbk PT
LUMBER;WOOD;Integra Indocabinet Tbk PT
LUMBER;IFII;Indonesia Fibreboard Industry Tbk
LUMBER;SULI;SLJ Global Tbk PT
POULTRY, MEAT, UPF;JPFA;Japfa Comfeed Indonesia Tbk PT
POULTRY, MEAT, UPF;MAIN;Malindo Feedmill Tbk PT
POULTRY, MEAT, UPF;CPIN;Charoen Pokphand Indonesia Tbk P
POULTRY, MEAT, UPF;CPRO;Central Proteina Prima Tbk PT
POULTRY, MEAT, UPF;AYAM;JANU PUTRA SEJAHTERA Tbk PT
POULTRY, MEAT, UPF;WMUU;Widodo Makmur Unggas Tbk PT
POULTRY, MEAT, UPF;SIPD;Sreeya Sewu Indonesia Tbk PT
POULTRY, MEAT, UPF;CRAB;Toba Surimi Industries Tbk PT
POULTRY, MEAT, UPF;DEWI;PT Dewi Shri Farmindo Tbk
POULTRY, MEAT, UPF;DSFI;Dharma Samudera Fishing Industris
POULTRY, MEAT, UPF;UDNG;Agro Bahari Nusantara Tbk PT
POULTRY, MEAT, UPF;ISEA;PT Indo American Seafoods Tbk
POULTRY, MEAT, UPF;BEEF;Estika Tata Tiara Tbk PT
